comparison,metric,mean_a,mean_b,n_a,n_b,t_stat,t_p,mwu_stat,mwu_p,cohens_d,ci95_diff_lo,ci95_diff_hi,significant_p05,group_col,f_stat,p_value,planner,test_type
Trust0.2_vs_Trust1.0,collisions,0.3333333333333333,0.36833333333333335,600.0,600.0,-1.270077192185147,0.20430388758283033,173700.0,0.2042086811338505,-0.07332794087996987,-0.08666666666666667,0.018333333333333368,False,,,,,
,collisions,,,,,,,,,,,,,density_override,142.94672318613354,3.2961938120728734e-85,CVaRPlanner,ANOVA_density_levels
,success,,,,,,,,,,,,,density_override,196.53546316332267,5.977566742156004e-114,CVaRPlanner,ANOVA_density_levels
,collisions,,,,,,,,,,,,,density_override,142.94672318613354,3.2961938120728734e-85,DynNavCurrent,ANOVA_density_levels
,success,,,,,,,,,,,,,density_override,196.53546316332267,5.977566742156004e-114,DynNavCurrent,ANOVA_density_levels
,collisions,,,,,,,,,,,,,density_override,145.9117923993125,7.69138281598878e-87,TrustAwareCVaR,ANOVA_density_levels
,success,,,,,,,,,,,,,density_override,201.64372796149627,1.3098785580608172e-116,TrustAwareCVaR,ANOVA_density_levels
TrustAwareCVaR_fgsm_vs_DynNavCurrent_fgsm,collisions,0.4766666666666667,0.5083333333333333,600.0,600.0,-1.096724466071937,0.2729822601441792,174300.0,0.2728444836735492,-0.06331941657134815,-0.08666666666666667,0.024999999999999967,False,,,,,
TrustAwareCVaR_pgd_vs_DynNavCurrent_pgd,collisions,0.43,0.4266666666666667,600.0,600.0,0.11657817458010113,0.9072138731249303,180600.0,0.9072333279255481,0.0067306440475456576,-0.051666666666666694,0.06,False,,,,,
TrustAwareCVaR_spoofing_vs_DynNavCurrent_spoofing,collisions,0.37666666666666665,0.38666666666666666,600.0,600.0,-0.35626074532290863,0.7217080353387445,178200.0,0.721622252981131,-0.0205687237213878,-0.065,0.041708333333333125,False,,,,,
CVaRPlanner_ShieldON_vs_CVaRPlanner_ShieldOFF,safety_violations,0.375,0.5683333333333334,600.0,600.0,-6.831762749775206,1.331712402759994e-11,145200.0,2.0119961464963115e-11,-0.3944320062622373,-0.25166666666666665,-0.1383333333333333,True,,,,,
DynNavCurrent_ShieldON_vs_DynNavCurrent_ShieldOFF,safety_violations,0.375,0.5683333333333334,600.0,600.0,-6.831762749775206,1.331712402759994e-11,145200.0,2.0119961464963115e-11,-0.3944320062622373,-0.25166666666666665,-0.1383333333333333,True,,,,,
TrustAwareCVaR_ShieldON_vs_TrustAwareCVaR_ShieldOFF,safety_violations,0.355,0.5766666666666667,600.0,600.0,-7.887486024124492,6.908161757346434e-15,140100.0,1.43224931089359e-14,-0.4553842179257686,-0.2783333333333333,-0.16666666666666669,True,,,,,
